Time,Emotion
2025-04-13 16:26:05,neutral
2025-04-13 16:26:05,happy
2025-04-13 16:26:05,neutral
2025-04-13 16:26:05,happy
2025-04-13 16:26:05,neutral
2025-04-13 16:26:05,neutral
2025-04-13 16:26:06,neutral
2025-04-13 16:26:06,neutral
2025-04-13 16:26:06,neutral
2025-04-13 16:26:06,neutral
2025-04-13 16:26:06,neutral
2025-04-13 16:26:06,neutral
2025-04-13 16:26:06,neutral
2025-04-13 16:26:06,neutral
2025-04-13 16:26:07,sad
2025-04-13 16:26:07,sad
2025-04-13 16:26:07,neutral
2025-04-13 16:26:07,neutral
2025-04-13 16:26:07,sad
2025-04-13 16:26:08,neutral
2025-04-13 16:26:08,neutral
2025-04-13 16:26:08,neutral
2025-04-13 16:26:08,neutral
2025-04-13 16:26:09,neutral
2025-04-13 16:26:09,neutral
2025-04-13 16:26:09,neutral
2025-04-13 16:26:09,sad
2025-04-13 16:26:10,sad
2025-04-13 16:26:10,neutral
2025-04-13 16:26:10,sad
2025-04-13 16:26:10,neutral
2025-04-13 16:26:11,sad
2025-04-13 16:26:11,neutral
2025-04-13 16:26:11,sad
2025-04-13 16:26:11,neutral
2025-04-13 16:26:11,sad
2025-04-13 16:26:12,sad
2025-04-13 16:26:12,sad
2025-04-13 16:26:12,sad
2025-04-13 16:26:13,neutral
2025-04-13 16:26:13,neutral
2025-04-13 16:26:13,sad
2025-04-13 16:26:13,sad
2025-04-13 16:26:14,sad
2025-04-13 16:26:14,sad
2025-04-13 16:26:14,sad
2025-04-13 16:26:14,neutral
2025-04-13 16:26:15,neutral
2025-04-13 16:26:15,neutral
2025-04-13 16:26:15,sad
2025-04-13 16:26:16,sad
2025-04-13 16:26:16,sad
2025-04-13 16:26:16,sad
2025-04-13 16:26:16,neutral
2025-04-13 16:26:17,sad
2025-04-13 16:26:17,neutral
2025-04-13 16:26:17,neutral
2025-04-13 16:26:18,sad
2025-04-13 16:26:18,neutral
2025-04-13 16:26:18,sad
2025-04-13 16:26:18,neutral
2025-04-13 16:26:19,sad
2025-04-13 16:26:19,sad
2025-04-13 16:26:19,sad
2025-04-13 16:26:20,neutral
2025-04-13 16:26:20,neutral
2025-04-13 16:26:20,neutral
2025-04-13 16:26:20,sad
2025-04-13 16:26:21,neutral
2025-04-13 16:26:21,sad
2025-04-13 16:26:21,neutral
2025-04-13 16:26:21,neutral
2025-04-13 16:26:22,neutral
2025-04-13 16:26:22,neutral
2025-04-13 16:26:22,neutral
2025-04-13 16:26:22,sad
2025-04-13 16:26:23,neutral
2025-04-13 16:26:23,neutral
2025-04-13 16:26:23,neutral
2025-04-13 16:26:23,neutral
2025-04-13 16:26:24,neutral
2025-04-13 16:26:24,neutral
2025-04-13 16:26:24,neutral
2025-04-13 16:26:24,neutral
2025-04-13 16:26:25,neutral
2025-04-13 16:26:25,neutral
2025-04-13 16:26:25,neutral
2025-04-13 16:26:26,neutral
2025-04-13 16:26:26,neutral
2025-04-13 16:26:26,neutral
2025-04-13 16:26:26,sad
2025-04-13 16:26:27,neutral
2025-04-13 16:26:27,sad
2025-04-13 16:26:27,neutral
2025-04-13 16:26:27,sad
2025-04-13 16:26:28,neutral
2025-04-13 16:26:28,neutral
2025-04-13 16:26:28,neutral
2025-04-13 16:26:28,neutral
2025-04-13 16:26:29,neutral
2025-04-13 16:26:29,neutral
2025-04-13 16:26:29,neutral
2025-04-13 16:26:29,neutral
2025-04-13 16:26:30,sad
2025-04-13 16:26:30,sad
2025-04-13 16:26:30,sad
2025-04-13 16:26:30,neutral
2025-04-13 16:26:30,neutral
2025-04-13 16:26:31,sad
2025-04-13 16:26:31,neutral
2025-04-13 16:26:31,sad
2025-04-13 16:26:31,sad
2025-04-13 16:26:31,neutral
2025-04-13 16:26:32,sad
2025-04-13 16:26:32,sad
2025-04-13 16:26:32,sad
2025-04-13 16:26:32,sad
2025-04-13 16:26:32,neutral
2025-04-13 16:26:33,sad
2025-04-13 16:26:33,neutral
2025-04-13 16:26:33,sad
2025-04-13 16:26:33,sad
2025-04-13 16:26:33,neutral
2025-04-13 16:26:34,sad
2025-04-13 16:26:34,neutral
2025-04-13 16:26:34,neutral
2025-04-13 16:26:34,sad
2025-04-13 16:26:34,sad
2025-04-13 16:26:35,neutral
2025-04-13 16:26:35,happy
2025-04-13 16:26:35,happy
2025-04-13 16:26:35,neutral
2025-04-13 16:26:36,neutral
2025-04-13 16:26:36,fear
2025-04-13 16:26:36,fear
2025-04-13 16:26:36,fear
2025-04-13 16:26:36,fear
2025-04-13 16:26:36,happy
2025-04-13 16:26:36,fear
2025-04-13 16:26:37,fear
2025-04-13 16:26:37,fear
2025-04-13 16:26:37,happy
2025-04-13 16:26:37,happy
2025-04-13 16:26:37,neutral
2025-04-13 16:26:37,happy
2025-04-13 16:26:37,fear
2025-04-13 16:26:37,happy
2025-04-13 16:26:38,happy
2025-04-13 16:26:38,happy
2025-04-13 16:26:38,happy
2025-04-13 16:26:38,fear
2025-04-13 16:26:38,happy
2025-04-13 16:26:38,fear
2025-04-13 16:26:39,angry
2025-04-13 16:26:39,angry
2025-04-13 16:26:39,neutral
2025-04-13 16:26:39,fear
2025-04-13 16:26:39,happy
2025-04-13 16:26:39,happy
2025-04-13 16:26:40,neutral
2025-04-13 16:26:40,neutral
2025-04-13 16:26:40,surprise
2025-04-13 16:26:40,fear
2025-04-13 16:26:40,happy
2025-04-13 16:26:40,fear
2025-04-13 16:26:40,fear
2025-04-13 16:26:40,surprise
2025-04-13 16:26:41,surprise
2025-04-13 16:26:41,happy
2025-04-13 16:26:41,surprise
2025-04-13 16:26:41,surprise
2025-04-13 16:26:41,fear
2025-04-13 16:26:41,happy
2025-04-13 16:26:41,sad
2025-04-13 16:26:42,happy
2025-04-13 16:26:42,happy
2025-04-13 16:26:42,neutral
2025-04-13 16:26:42,sad
2025-04-13 16:26:42,sad
2025-04-13 16:26:42,happy
2025-04-13 16:26:43,neutral
2025-04-13 16:26:43,neutral
2025-04-13 16:26:43,neutral
2025-04-13 16:26:43,neutral
2025-04-13 16:26:43,neutral
2025-04-13 16:26:43,surprise
2025-04-13 16:26:43,neutral
2025-04-13 16:26:44,neutral
2025-04-13 16:26:44,sad
2025-04-13 16:26:44,angry
2025-04-13 16:26:44,happy
2025-04-13 16:26:44,happy
2025-04-13 16:26:44,happy
2025-04-13 16:26:44,happy
2025-04-13 16:26:44,happy
2025-04-13 16:26:45,happy
2025-04-13 16:26:45,happy
2025-04-13 16:26:45,happy
2025-04-13 16:26:45,happy
2025-04-13 16:26:45,happy
2025-04-13 16:26:45,happy
2025-04-13 16:26:45,happy
2025-04-13 16:26:45,happy
2025-04-13 16:26:46,happy
2025-04-13 16:26:46,happy
2025-04-13 16:26:46,sad
2025-04-13 16:26:46,sad
2025-04-13 16:26:46,sad
2025-04-13 16:26:46,neutral
2025-04-13 16:26:47,neutral
2025-04-13 16:26:47,neutral
2025-04-13 16:26:47,neutral
2025-04-13 16:26:47,neutral
2025-04-13 16:26:47,neutral
2025-04-13 16:26:47,neutral
2025-04-13 16:26:47,neutral
2025-04-13 16:26:47,neutral
2025-04-13 16:26:48,neutral
2025-04-13 16:26:48,neutral
2025-04-13 16:26:48,neutral
2025-04-13 16:26:48,neutral
2025-04-13 16:26:48,neutral
2025-04-13 16:26:48,neutral
2025-04-13 16:26:48,neutral
2025-04-13 16:26:49,neutral
2025-04-13 16:26:49,neutral
2025-04-13 16:26:49,neutral
2025-04-13 16:26:49,neutral
2025-04-13 16:26:49,neutral
2025-04-13 16:26:49,neutral
2025-04-13 16:26:49,neutral
2025-04-13 16:26:49,neutral
2025-04-13 16:26:50,neutral
2025-04-13 16:26:50,neutral
2025-04-13 16:26:50,neutral
